#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCnewkinstrife.8;Your current King has little or no Numenorean blood, but you receive word, there is another heir of higher birth, and is willing to take the throne! This lord is plotting to make it happen - do you join with him?; Your current King has little or no Numenorean blood, but you receive word, there is another heir of higher birth, and is willing to take the throne! This lord is plotting to make it happen - do you join with him?;;;;;;;;;;;;x
EVTOPTAnewkinstrife.8;It's a new age! Who cares about such things?; It's a new age! Who cares about such things?;;;;;;;;;;;;x
EVTOPTBnewkinstrife.8;It must be done, for the dignity of Gondor!; It must be done, for the dignity of Gondor!;;;;;;;;;;;;x
EVTTITnewkinstrife.9;You receive word; You receive word;;;;;;;;;;;;x
EVTDESCnewkinstrife.9;This Lord is willing to support your cause, even if it means war. You should inform the claimant that all is ready...; This Lord is willing to support your cause, even if it means war. You should inform the claimant that all is ready...;;;;;;;;;;;;x
EVTOPTAnewkinstrife.9;Send word.; Send word.;;;;;;;;;;;;x
EVTTITnewkinstrife.10;You receive word; You receive word;;;;;;;;;;;;x
EVTDESCnewkinstrife.10;The most noble lords of the realm are ready to support your claim. It is time to do what needs to be done.; The most noble lords of the realm are ready to support your claim. It is time to do what needs to be done.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.10;Send word. We gather our full strength.; Send word. We gather our full strength.;;;;;;;;;;;;x
EVTTITnewkinstrife.19;It is time.; It is time.;;;;;;;;;;;;x
EVTDESCnewkinstrife.19;You've come this far, now there is no going back. You must declare yourself openly, and let your supporters know that they are with you to the end now.; You've come this far, now there is no going back. You must declare yourself openly, and let your supporters know that they are with you to the end now.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.19;Do it.; Do it.;;;;;;;;;;;;x
EVTTITnewkinstrife.11;Kinstrife is upon us!; Kinstrife is upon us!;;;;;;;;;;;;x
EVTDESCnewkinstrife.11;Many of the nobles from the oldest families of Gondor do not think you fit to rule, and have found another claimant. They are ready to fight for him, if you do not step down!; Many of the nobles from the oldest families of Gondor do not think you fit to rule, and have found another claimant. They are ready to fight for him, if you do not step down!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.11;Traitors!; Traitors!;;;;;;;;;;;;x
EVTTITnewkinstrife.12;Kinstrife is upon us!; Kinstrife is upon us!;;;;;;;;;;;;x
EVTDESCnewkinstrife.12;The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!; The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.12;Ready the banners. We march.; Ready the banners. We march.;;;;;;;;;;;;x
EVTTITnewkinstrife.14;Kinstrife; Kinstrife;;;;;;;;;;;;x
EVTDESCnewkinstrife.14;In a dispute over the throne, the Lords of Gondor have fallen into civil war. Even now, the battle-lines are being drawn, and brother will fight against brother in this terrible war.; In a dispute over the throne, the Lords of Gondor have fallen into civil war. Even now, the battle-lines are being drawn, and brother will fight against brother in this terrible war.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.14;Oh no, not again...; Oh no, not again...;;;;;;;;;;;;x
EVTOPTBnewkinstrife.14;Good!; Good!;;;;;;;;;;;;x
EVTTITnewkinstrife.15;Some want a new ruler; Some want a new ruler;;;;;;;;;;;;x
EVTDESCnewkinstrife.15;Your current King has little or no Numenorean blood, but you receive word from this Prince - if you will help him, he will seize the throne, and restore the dignity of Gondor and re-make it in the image of ancient Numenor!; Your current King has little or no Numenorean blood, but you receive word from this Prince - if you will help him, he will seize the throne, and restore the dignity of Gondor and re-make it in the image of ancient Numenor!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.15;It's a new age! Who cares about such things?; It's a new age! Who cares about such things?;;;;;;;;;;;;x
EVTOPTBnewkinstrife.15;It must be done, for the dignity of Gondor!; It must be done, for the dignity of Gondor!;;;;;;;;;;;;x
EVTTITnewkinstrife.16;You receive word; You receive word;;;;;;;;;;;;x
EVTDESCnewkinstrife.16;This Prince is willing to support your cause, even if it means war. You should prepare your armies.; This Prince is willing to support your cause, even if it means war. You should prepare your armies.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.16;Send word. We gather our full strength.; Send word. We gather our full strength.;;;;;;;;;;;;x
EVTTITnewkinstrife.17;Kinstrife is upon us!; Kinstrife is upon us!;;;;;;;;;;;;x
EVTDESCnewkinstrife.17;The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!; The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.17;Ready the banners. We march.; Ready the banners. We march.;;;;;;;;;;;;x
EVTTITnewkinstrife.18;It is time.; It is time.;;;;;;;;;;;;x
EVTDESCnewkinstrife.18;You've come this far, now there is no going back. You must declare yourself openly, and let your supporters know that they are with you to the end now.; You've come this far, now there is no going back. You must declare yourself openly, and let your supporters know that they are with you to the end now.;;;;;;;;;;;;x
EVTOPTAnewkinstrife.18;Do it.; Do it.;;;;;;;;;;;;x
EVTTITnewkinstrife.20;Kinstrife is upon us!; Kinstrife is upon us!;;;;;;;;;;;;x
EVTDESCnewkinstrife.20;The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!; The time has come. You must march towards the throne, and if the ill-suited whelp will not stand down, then it will be open war!;;;;;;;;;;;;x
EVTOPTAnewkinstrife.20;Ready the banners. We march.; Ready the banners. We march.;;;;;;;;;;;;x
newkinstrife_claimant;The Kinstrife War Claimant; The Kinstrife War Claimant;;;;;;;;;;;;x
newkinstrife_war;The Kinstrife War; The Kinstrife War;;;;;;;;;;;;x
